player_name,fa_year,ERA_y1,ERA_y2,ERA_y3,IP_y1,IP_y2,IP_y3,G_y1,G_y2,G_y3,H_y1,H_y2,H_y3,HR_y1,HR_y2,HR_y3,BB_y1,BB_y2,BB_y3,SO_y1,SO_y2,SO_y3,R_y1,R_y2,R_y3,ER_y1,ER_y2,ER_y3,ERA_3yr_avg,ERA_3yr_weighted,ERA_3yr_slope,IP_3yr_sum,IP_3yr_avg,IP_3yr_slope,SO_3yr_avg,BB_3yr_avg,KBB_ratio_3yr,HR_3yr_avg,WAR_y1,WAR_y2,WAR_y3,WAR_3yr_weighted,WAR_3yr_slope,FIP_y1,FIP_y2,FIP_y3,FIP_3yr_weighted,FIP_3yr_slope
마정길,2016,5.06,4.78,4.09,37.333,64,33,35,56,29,36,57,32,4,9,1,17,30,18,33,55,31,22,37,20,21,34,15,,,,,,,,,,,,,,,,,,,,
손승락,2016,3.82,4.33,2.3,61.333,62.333,62.667,58,62,57,73,69,50,6,6,1,13,11,20,63,53,52,35,30,17,26,30,16,,,,,,,,,,,,,,,,,,,,
윤길현,2016,3.16,3.9,3.32,62.667,57.667,43.333,70,59,45,58,49,35,7,7,5,36,28,21,62,63,47,25,27,17,22,25,16,,,,,,,,,,,,,,,,,,,,
정우람,2016,3.21,2.2,1.81,70,49,94.333,69,53,68,52,33,61,3,0,3,28,9,23,90,55,68,25,12,21,25,12,19,,,,,,,,,,,,,,,,,,,,
채병용,2016,6.07,6.37,7.97,83,130,20.333,33,27,12,103,151,30,17,27,2,27,49,16,78,87,12,56,94,18,56,92,18,,,,,,,,,,,,,,,,,,,,
송승준,2016,4.75,5.98,3.76,125,122,167.667,25,24,29,131,166,171,17,16,11,46,43,64,112,89,133,71,91,74,66,81,70,,,,,,,,,,,,,,,,,,,,
심수창,2016,6.01,9.15,,73.333,19.667,,39,11,,99,24,,9,7,,29,8,,76,14,,56,20,,49,20,,,,,,,,,,,,,,,,,,,,,
이동현,2016,4.4,2.73,3,59.333,59.333,72,60,61,64,65,54,70,4,2,4,20,21,25,55,38,53,33,18,29,29,18,24,,,,,,,,,,,,,,,,,,,,
이현승,2017,4.84,2.89,5.07,57.667,46.667,55,56,41,65,65,45,68,8,3,2,17,10,23,41,41,39,36,16,34,31,15,31,,,,,,,,,,,,,,,,,,,,
봉중근,2017,4.95,4.93,2.9,36.333,49.333,49.667,19,47,50,41,60,51,4,10,2,22,23,17,20,39,45,23,28,16,20,27,16,,,,,,,,,,,,,,,,,,,,
우규민,2017,4.91,3.42,4.04,132,152.667,153.667,28,25,29,166,163,170,16,13,11,36,17,34,81,119,103,89,64,78,72,58,69,,,,,,,,,,,,,,,,,,,,
양현종,2017,3.68,2.44,4.25,200.333,184.333,171.333,31,32,29,191,150,162,19,18,12,77,78,77,146,157,165,96,52,85,82,50,81,,,,,,,,,,,,,,,,,,,,
김광현,2017,3.88,3.72,3.42,137.333,176.667,173.667,27,30,28,139,173,178,17,19,10,41,66,81,116,160,145,68,86,77,59,73,66,,,,,,,,,,,,,,,,,,,,
차우찬,2017,4.73,4.79,5.6,152.333,173,82,24,31,69,168,160,86,16,28,9,65,74,42,120,194,79,87,98,57,80,92,51,,,,,,,,,,,,,,,,,,,,
김승회,2018,4.96,5.92,6.24,69,24.333,75,69,23,39,86,29,96,6,4,13,17,9,28,41,19,50,38,16,52,38,16,52,,,,,,,,,,,,,,,,,,,,
박정진,2018,3.94,5.57,3.09,48,84,96,55,77,76,38,96,84,6,11,8,24,33,39,51,85,92,28,58,37,21,52,33,,,,,,,,,,,,,,,,,,,,
안영명,2018,5.75,20.25,5.1,87.667,2.333,125.333,25,2,35,123,9,137,11,0,15,28,4,60,54,1,82,62,10,77,56,6,71,,,,,,,,,,,,,,,,,,,,
권오준,2018,5.14,3.88,8.04,56,46.333,28,45,41,30,57,48,33,11,9,5,14,11,9,55,35,24,32,20,27,32,20,25,,,,,,,,,,,,,,,,,,,,
이보근,2019,4.28,5.47,4.45,61,52.667,64.667,64,55,67,66,62,69,6,9,3,14,17,27,54,58,56,36,32,36,29,32,32,,,,,,,,,,,,,,,,,,,,
윤성환,2019,6.98,4.28,4.35,117.333,174.333,180,24,28,28,164,181,202,28,22,25,32,37,41,89,130,85,99,86,95,91,83,87,,,,,,,,,,,,,,,,,,,,
금민철,2019,5.41,6.33,5.13,156.333,54,26.333,29,36,14,212,81,36,19,3,2,68,33,9,79,42,16,104,40,16,94,38,15,,,,,,,,,,,,,,,,,,,,
오주원,2020,2.32,6.19,4.76,54.333,52.333,73.667,57,61,57,54,61,96,1,8,10,7,13,15,41,36,56,17,37,44,14,36,39,,,,,,,,,,,,,,,,,,,,
진해수,2020,3.43,7.21,3.93,42,43.667,52.667,72,66,75,44,63,52,2,7,6,16,13,15,38,37,48,17,37,23,16,35,23,,,,,,,,,,,,,,,,,,,,
송은범,2020,5.25,2.5,6.51,60,79.333,37.333,63,68,13,80,77,45,6,2,4,23,33,23,36,61,15,38,29,30,35,22,27,,,,,,,,,,,,,,,,,,,,
윤규진,2020,10.38,5.89,5.22,4.333,84,119,3,18,36,6,99,138,0,14,19,1,30,44,5,81,93,5,63,71,5,55,69,,,,,,,,,,,,,,,,,,,,
고효준,2020,4.76,6.96,4.28,62.333,32.333,44,75,43,40,58,33,44,6,3,1,36,23,22,72,39,35,34,27,19,33,25,19,,,,,,,,,,,,,,,,,,,,
유희관,2021,5.02,3.25,6.7,136.333,166.333,141,27,28,29,190,171,197,14,8,23,39,42,42,56,64,81,91,67,108,76,60,105,,,,,,,,,,,,,,,,,,,,
이용찬,2021,6.55,3.75,4.79,90.667,129.667,152.333,19,24,29,105,133,157,14,6,13,43,43,49,61,91,110,66,62,87,66,54,81,,,,,,,,,,,,,,,,,,,,
김상수,2019,5.17,3.82,4.62,55.667,61.333,74,53,59,77,68,62,76,9,8,6,23,22,34,68,62,76,32,29,38,32,26,40,,,,,,,,,,,,,,,,,,,,
